GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
0400000US13,13,Georgia,0500000US13129,13129,Georgia - Gordon County,Gordon County,21.3,1.5
0400000US13,13,Georgia,0500000US13131,13131,Georgia - Grady County,Grady County,24.9,2.2
0400000US13,13,Georgia,0500000US13133,13133,Georgia - Greene County,Greene County,19.6,2.0
0400000US13,13,Georgia,0500000US13135,13135,Georgia - Gwinnett County,Gwinnett County,22.4,0.5
0400000US13,13,Georgia,0500000US13137,13137,Georgia - Habersham County,Habersham County,20.9,2.2
0400000US13,13,Georgia,0500000US13139,13139,Georgia - Hall County,Hall County,20.7,1.1
0400000US13,13,Georgia,0500000US13141,13141,Georgia - Hancock County,Hancock County,18.5,4.0
0400000US13,13,Georgia,0500000US13143,13143,Georgia - Haralson County,Haralson County,19.1,2.2
0400000US13,13,Georgia,0500000US13145,13145,Georgia - Harris County,Harris County,11.0,1.8
0400000US13,13,Georgia,0500000US13147,13147,Georgia - Hart County,Hart County,17.5,2.3
0400000US13,13,Georgia,0500000US13149,13149,Georgia - Heard County,Heard County,17.0,2.7
0400000US13,13,Georgia,0500000US13151,13151,Georgia - Henry County,Henry County,14.7,1.1
0400000US13,13,Georgia,0500000US13153,13153,Georgia - Houston County,Houston County,14.0,0.9
0400000US13,13,Georgia,0500000US13155,13155,Georgia - Irwin County,Irwin County,21.3,3.8
0400000US13,13,Georgia,0500000US13157,13157,Georgia - Jackson County,Jackson County,18.3,1.5
0400000US13,13,Georgia,0500000US13159,13159,Georgia - Jasper County,Jasper County,17.4,2.8
0400000US13,13,Georgia,0500000US13161,13161,Georgia - Jeff Davis County,Jeff Davis County,25.3,3.9
0400000US13,13,Georgia,0500000US13163,13163,Georgia - Jefferson County,Jefferson County,22.0,2.6
0400000US13,13,Georgia,0500000US13165,13165,Georgia - Jenkins County,Jenkins County,21.5,3.8
0400000US13,13,Georgia,0500000US13167,13167,Georgia - Johnson County,Johnson County,19.9,3.5
0400000US13,13,Georgia,0500000US13169,13169,Georgia - Jones County,Jones County,14.6,2.1
0400000US13,13,Georgia,0500000US13171,13171,Georgia - Lamar County,Lamar County,19.5,2.5
0400000US13,13,Georgia,0500000US13173,13173,Georgia - Lanier County,Lanier County,23.7,4.0
0400000US13,13,Georgia,0500000US13175,13175,Georgia - Laurens County,Laurens County,15.8,1.5
0400000US13,13,Georgia,0500000US13177,13177,Georgia - Lee County,Lee County,16.0,2.2
0400000US13,13,Georgia,0500000US13179,13179,Georgia - Liberty County,Liberty County,14.0,1.5
0400000US13,13,Georgia,0500000US13181,13181,Georgia - Lincoln County,Lincoln County,19.5,3.2
0400000US13,13,Georgia,0500000US13183,13183,Georgia - Long County,Long County,21.9,3.9
0400000US13,13,Georgia,0500000US13185,13185,Georgia - Lowndes County,Lowndes County,19.5,1.2
0400000US13,13,Georgia,0500000US13187,13187,Georgia - Lumpkin County,Lumpkin County,19.0,2.7
0400000US13,13,Georgia,0500000US13189,13189,Georgia - McDuffie County,McDuffie County,20.1,2.8
0400000US13,13,Georgia,0500000US13191,13191,Georgia - McIntosh County,McIntosh County,25.7,4.5
0400000US13,13,Georgia,0500000US13193,13193,Georgia - Macon County,Macon County,23.2,3.9
0400000US13,13,Georgia,0500000US13195,13195,Georgia - Madison County,Madison County,20.3,2.7
0400000US13,13,Georgia,0500000US13197,13197,Georgia - Marion County,Marion County,30.1,4.4
0400000US13,13,Georgia,0500000US13199,13199,Georgia - Meriwether County,Meriwether County,21.2,2.3
0400000US13,13,Georgia,0500000US13201,13201,Georgia - Miller County,Miller County,18.6,3.5
0400000US13,13,Georgia,0500000US13205,13205,Georgia - Mitchell County,Mitchell County,20.2,2.4
0400000US13,13,Georgia,0500000US13207,13207,Georgia - Monroe County,Monroe County,18.1,3.0
0400000US13,13,Georgia,0500000US13209,13209,Georgia - Montgomery County,Montgomery County,22.6,2.8
0400000US13,13,Georgia,0500000US13211,13211,Georgia - Morgan County,Morgan County,18.4,3.3
0400000US13,13,Georgia,0500000US13213,13213,Georgia - Murray County,Murray County,22.8,2.0
0400000US13,13,Georgia,0500000US13215,13215,Georgia - Muscogee County,Muscogee County,14.9,0.7
0400000US13,13,Georgia,0500000US13217,13217,Georgia - Newton County,Newton County,19.1,1.1
0400000US13,13,Georgia,0500000US13219,13219,Georgia - Oconee County,Oconee County,9.4,1.3
0400000US13,13,Georgia,0500000US13221,13221,Georgia - Oglethorpe County,Oglethorpe County,15.5,3.0
0400000US13,13,Georgia,0500000US13223,13223,Georgia - Paulding County,Paulding County,14.1,1.3
0400000US13,13,Georgia,0500000US13225,13225,Georgia - Peach County,Peach County,20.8,3.3
0400000US13,13,Georgia,0500000US13227,13227,Georgia - Pickens County,Pickens County,15.1,2.3
0400000US13,13,Georgia,0500000US13229,13229,Georgia - Pierce County,Pierce County,20.9,2.3
0400000US13,13,Georgia,0500000US13231,13231,Georgia - Pike County,Pike County,15.2,2.6
0400000US13,13,Georgia,0500000US13233,13233,Georgia - Polk County,Polk County,20.3,1.8
0400000US13,13,Georgia,0500000US13235,13235,Georgia - Pulaski County,Pulaski County,17.6,3.9
0400000US13,13,Georgia,0500000US13237,13237,Georgia - Putnam County,Putnam County,16.9,2.5
0400000US13,13,Georgia,0500000US13239,13239,Georgia - Quitman County,Quitman County,15.6,4.3
0400000US13,13,Georgia,0500000US13241,13241,Georgia - Rabun County,Rabun County,23.6,2.7
0400000US13,13,Georgia,0500000US13243,13243,Georgia - Randolph County,Randolph County,21.9,5.3
0400000US13,13,Georgia,0500000US13245,13245,Georgia - Richmond County,Richmond County,18.0,0.9
0400000US13,13,Georgia,0500000US13247,13247,Georgia - Rockdale County,Rockdale County,20.2,1.2
0400000US13,13,Georgia,0500000US13249,13249,Georgia - Schley County,Schley County,23.9,5.8
0400000US13,13,Georgia,0500000US13251,13251,Georgia - Screven County,Screven County,20.4,2.9
0400000US13,13,Georgia,0500000US13253,13253,Georgia - Seminole County,Seminole County,19.0,3.9
0400000US13,13,Georgia,0500000US13255,13255,Georgia - Spalding County,Spalding County,18.7,1.7
0400000US13,13,Georgia,0500000US13257,13257,Georgia - Stephens County,Stephens County,20.0,2.4
0400000US13,13,Georgia,0500000US13259,13259,Georgia - Stewart County,Stewart County,23.9,3.8
0400000US13,13,Georgia,0500000US13261,13261,Georgia - Sumter County,Sumter County,17.2,2.1
0400000US13,13,Georgia,0500000US13263,13263,Georgia - Talbot County,Talbot County,15.3,3.2
0400000US13,13,Georgia,0500000US13265,13265,Georgia - Taliaferro County,Taliaferro County,17.4,5.0
0400000US13,13,Georgia,0500000US13267,13267,Georgia - Tattnall County,Tattnall County,23.8,3.0
0400000US13,13,Georgia,0500000US13269,13269,Georgia - Taylor County,Taylor County,19.2,3.1
0400000US13,13,Georgia,0500000US13271,13271,Georgia - Telfair County,Telfair County,19.6,3.5
0400000US13,13,Georgia,0500000US13273,13273,Georgia - Terrell County,Terrell County,18.3,2.5
0400000US13,13,Georgia,0500000US13275,13275,Georgia - Thomas County,Thomas County,21.9,1.8
0400000US13,13,Georgia,0500000US13277,13277,Georgia - Tift County,Tift County,23.4,2.1
0400000US13,13,Georgia,0500000US13279,13279,Georgia - Toombs County,Toombs County,22.3,2.9
0400000US13,13,Georgia,0500000US13281,13281,Georgia - Towns County,Towns County,17.7,3.3
0400000US13,13,Georgia,0500000US13283,13283,Georgia - Treutlen County,Treutlen County,15.8,2.9
0400000US13,13,Georgia,0500000US13285,13285,Georgia - Troup County,Troup County,18.1,1.4
0400000US13,13,Georgia,0500000US13287,13287,Georgia - Turner County,Turner County,23.8,4.3
0400000US13,13,Georgia,0500000US13289,13289,Georgia - Twiggs County,Twiggs County,17.2,3.7
0400000US13,13,Georgia,0500000US13291,13291,Georgia - Union County,Union County,17.1,2.8
0400000US13,13,Georgia,0500000US13293,13293,Georgia - Upson County,Upson County,18.7,1.8
0400000US13,13,Georgia,0500000US13295,13295,Georgia - Walker County,Walker County,17.5,1.4
0400000US13,13,Georgia,0500000US13297,13297,Georgia - Walton County,Walton County,16.4,1.6
0400000US13,13,Georgia,0500000US13299,13299,Georgia - Ware County,Ware County,22.1,2.4
0400000US13,13,Georgia,0500000US13301,13301,Georgia - Warren County,Warren County,14.7,2.3
0400000US13,13,Georgia,0500000US13303,13303,Georgia - Washington County,Washington County,21.8,2.5
0400000US13,13,Georgia,0500000US13305,13305,Georgia - Wayne County,Wayne County,23.1,2.1
0400000US13,13,Georgia,0500000US13307,13307,Georgia - Webster County,Webster County,20.3,5.2
0400000US13,13,Georgia,0500000US13309,13309,Georgia - Wheeler County,Wheeler County,15.5,4.6
0400000US13,13,Georgia,0500000US13311,13311,Georgia - White County,White County,19.8,3.1
0400000US13,13,Georgia,0500000US13313,13313,Georgia - Whitfield County,Whitfield County,25.3,1.4
0400000US13,13,Georgia,0500000US13315,13315,Georgia - Wilcox County,Wilcox County,16.4,3.2
0400000US13,13,Georgia,0500000US13317,13317,Georgia - Wilkes County,Wilkes County,18.1,3.3
0400000US13,13,Georgia,0500000US13319,13319,Georgia - Wilkinson County,Wilkinson County,11.4,2.2
0400000US13,13,Georgia,0500000US13321,13321,Georgia - Worth County,Worth County,22.2,2.7
