Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Groton-NewLondon Airport,059,"LIS, SE Shore Regional District",,000938,4581,Y,DSN003,3/19/13,3/12/13,,N,,6.9,,5,,,,,,,,100.00%,100.00%,44,433,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Groton-NewLondon Airport,059,"LIS, SE Shore Regional District",,000938,4581,Y,DSN004,3/19/13,3/12/13,,N,,6.9,,,,,0.720,0.020,,,,100.00%,100.00%,14,37,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Windham Airport,163,"Unnamed Pond, Natchaug Regional Basin",Natchaug Regional Basin,000918,4581,N,DSN001(BF44314),9/22/13,9/12/13,,N,,,,,,,,,,,,100.00%,100.00%,1,7,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Brainard Airport,064,CT River Basin,,000915,4581,Y,DSN001,9/22/13,9/12/13,,N,,,,,,,,,,,,100.00%,100.00%,1,6,95.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Brainard Airport,064,CT River Basin,,000915,4581,Y,DSN003,9/22/13,9/12/13,,N,,,,,,,,,,,,100.00%,100.00%,36,96,90.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Danbury Municipal Airport,,034,,,001133,,,front drain,10/19/12,10/15/12,,N,0.5,6.3,6.8,2.5,1.2,0.005,0.1,0.25,0.0025,0.008,0.0005,100.00%,100.00%,4,13,90.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Danbury Municipal Airport,,034,,,001133,,,back drain,10/19/12,10/15/12,,N,0.5,6.3,7.7,27,4.5,0.08,0.31,0.54,0.0025,0.0025,0.0005,100.00%,100.00%,98,323,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Waterbury -Oxford Airport,108,"Little River, Naugatuck Regional Basin",,000917,4581,N,WO-B (BF 19066),8/9/13,8/2/13,,N,,,,,,,,,,0.017,,100.00%,100.00%,18,14,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Waterbury -Oxford Airport,108,"Little River, Naugatuck Regional Basin",,000917,4581,N,WO-E (BF 19067),8/9/13,8/2/13,,N,,,,,,,,,,0.022,,100.00%,100.00%,52,150,85.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,State of CT DOT,Waterbury -Oxford Airport,108,"Little River, Naugatuck Regional Basin",,000917,4581,N,WO-F (BF 19068),8/9/13,8/2/13,,N,,,,,,,,,,,,100.00%,100.00%,64,234,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Whelen Aviation,,026,,,000721,,N,Airport A,9/27/12,9/22/12,,N,1,5.4,7.1,8,2.5,0.032,0.57,1.9,0.0026,0.55,0.001,100.00%,23.20%,25,73,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Whelen Aviation,,026,,,000721,,N,Airport B,9/27/12,9/22/12,,N,1,5.4,7.1,9.1,2.5,0.032,0.55,1.8,0.0029,0.55,0.001,100.00%,46.70%,25,77,5.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Whelen Aviation,,026,,,000721,,N,Airport A,9/10/13,9/5/13,,N,0.7,5.7,7,5,12,0.03,0.43,2.5,0.0025,0.27,0.003,100.00%,100.00%,76,127,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Whelen Aviation,,026,,,000721,,N,Airport B,9/10/13,9/5/13,,N,0.7,5.7,7.3,5,9,0.06,0.54,2.5,0.0025,0.292,0.004,100.00%,100.00%,73,127,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Whelen Aviation,,026,,,000721,,N,Airport A,4/8/14,3/31/14,,N,0.75,4.7,6.4,5,2.5,0.02,0.39,1.1,0.0025,0.083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-SA,Whelen Aviation,,026,,,000721,,N,Airport B,4/8/14,3/31/14,,N,0.75,4.7,6.4,5,2.5,0.02,0.45,1.4,0.0025,0.092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
