Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur
G-DOT,CT DOT,CT DOT- Brookfield,018,Limekiln Brook/Still River,,000008,"7538, 4789",N,DSN001 (BB15630),12/27/11,12/23/11,4,N,1.7,6.91,7.45,43.0,120,0.2,0.91,0.13,0.01,0.071,0.001,100.00%,100.00%,6,92,100%
G-DOT,CT DOT,CT DOT- New Milford,096,Housatonic River,,000045,"7538, 4789",N,DSN001(BB15626),12/27/11,12/23/11,4,N,0.7,6.91,7.51,5.0,7,0.04,0.41,0.12,0.003,0.017,0.001,100.00%,100.00%,10,569,100%
G-DOT,CT DOT,CT DOT- New Haven,093,West River,,000042,"7538, 4789",N,DSN001(BB15627),12/27/11,12/23/11,4,N,0.7,7.19,7.65,10.0,21,0.04,0.51,0.45,0.01,0.106,0.001,100.00%,100.00%,12,83,100%
G-DOT,CT DOT,CT DOT- New Haven,093,West River,,000042,"7538, 4789",N,DSN002(BB15628),12/27/11,12/23/11,4,N,0.7,7.19,7.29,25.0,34,0.12,1.2,0.24,0.009,0.037,0.016,100.00%,100.00%,20,281,100%
G-DOT,CT DOT,Wallingford,148,Wharton Brook,,000076,9199,N,DSN001 (BB55188),08/15/12,08/10/12,5,N,0.7,6.32,6.97,34.0,46,0.11,0.92,0.24,0.007,0.059,0.005,100.00%,100.00%,12,43,100%
G-DOT,CT DOT,Wallingford,148,Wharton Brook,,000076,9199,N,DSN002 (BB55189),08/15/12,08/10/12,5,N,0.7,6.32,6.89,45.0,38,0.11,0.93,0.32,0.006,0.063,0.007,100.00%,100.00%,12,37,100%
G-DOT,CT DOT,Meriden,080,Spruce Glen Brook,,000957,9199,N,DSN001 (BB55186),08/15/12,08/10/12,5,N,0.7,6.41,7.06,34.0,41,0.16,0.93,0.45,0.011,0.076,0.009,100.00%,100.00%,20,191,100%
G-DOT,CT DOT,Orange,107,wetland to Wepawaug Reservoir,,000052,"7538, 4789",N,DSN001 (BB37734),01/26/12,01/23/12,3,Y,2,4.79,7.21,180.0,43,0.08,1.13,0.9,0.021,0.11,0.006,47.40%,34.20%,3100,12840,0%
G-DOT,CT DOT,Thomaston,140,Sutliffe Brook,Housatonic,000068,9199,N,DSN001 (BB78868),05/01/12,04/22/12,9,N,6.6,5.6,6.37,30.0,160,0.18,1.87,0.25,0.019,0.081,0.008,100.00%,100.00%,2,53,95%
G-DOT,CT DOT,Litchfield,074,Moulthrop Brook,Shepaug,000034,9199,N,DSN001 (BB78870),05/01/12,04/22/12,9,N,0.7,5.49,6.82,36.0,16,0.21,1.24,0.21,0.518,0.201,0.213,100.00%,100.00%,1,27,95%
G-DOT,Connecticut Department of Transportation,Trumbull,144,Success Lake/Southwest Coast Basin,,000072,9199,N,DSN001 (BD69114),05/08/13,04/20/13,18,N,0.7,6.39,6.95,118.0,71,0.21,2.63,0.48,0.031,0.095,0.018,100.00%,100.00%,30,1057,100.00%
G-DOT,Connecticut Department of Transportation,Old Saybrook,106,Connecticut River / South Central Coast Basin,,000051,9199,N,DSN001 (BD85828),06/03/13,05/29/13,5,N,0.7,7.75,6.71,70.0,24,0.13,1.53,0.59,0.028,0.081,0.001,100.00%,100.00%,36,173,80.00%
G-DOT,Connecticut Department of Transportation,Old Saybrook,106,Connecticut River / South Central Coast Basin,,000051,9199,N,DSN002 (BD85829),06/03/13,05/29/13,5,N,7.7,7.75,6.94,172.0,400,0.38,2.24,0.28,0.05,0.466,0.039,100.00%,100.00%,16,157,100.00%
G-DOT,Connecticut Department of Transportation,New Milford,094,Housatonic River,,000045,7538 & 4789,N,DSN001 (BF 14926),08/01/13,07/23/13,9,N,,,,,,,,,,,,,,,,
G-DOT,Connecticut Department of Transportation,Milford,084,Indian River S Central Western Regional Complex,,000040,7538 & 4789,Y,DSN001 (BF19106),08/09/13,08/01/13,8,N,0.7,6.11,6.3,78.0,5.5,0.06,0.91,1.45,0.0025,0.027,0.003,100.00%,100.00%,60,475,100.00%
G-DOT,Connecticut Department of Transportation,Milford,084,Indian River S Central Western Regional Complex,,000040,7539 & 4789,Y,DSN002 (BF19107),08/09/13,08/01/13,8,N,0.7,6.11,6.75,34.0,23,0.09,0.55,0.33,0.0025,0.027,0.001,100.00%,100.00%,228,3400,100.00%
G-DOT,Connecticut Department of Transportation,Milford,084,Indian River S Central Western Regional Complex,,000040,7540 & 4789,Y,DSN003(BF19108),08/09/13,08/01/13,8,N,0.7,6.11,6.74,34.0,66,0.1,0.69,0.28,0.01,0.055,0.037,100.00%,100.00%,240,3280,100.00%
G-DOT,Connecticut Department of Transportation,Milford,084,Indian River S Central Western Regional Complex,,000040,7541 & 4789,Y,DSN004(BF19109),08/09/13,08/01/13,8,N,0.7,6.11,7.39,65.0,17,1.48,9.12,0.59,0.008,0.19,0.006,100.00%,100.00%,54,239,100.00%
