Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur
B,"Eastport South, LLC",Mile Creek Road Site,105,Wetlands,2000-47,1195,1442,N,Outlet AE83459 discharge,10/3/11,9/29/11,4,N,2.5,6.1,6.34,59,23,0.05,0.5,0.05,0.02,0.01,0.007,100.00%,100.00%,23,121,100.00%
B,"Eastport South, LLC",Mile Creek Road Site,105,Wetlands,2000-47,1195,1442,N,Inlet AE83458 non-discharge,10/3/11,9/29/11,4,N,9.8,6.1,5.85,70,14,0.05,0.5,0.05,0.04,0.02,0.013,100.00%,100.00%,19,175,100.00%
B,"O&G Industries, Inc.",New Milford Quarry,96,Housatonic River,,1933,1429,N,DSN001,10/19/11,10/14/11,5,N,0.7,5.5,7.72,5,2.5,0.02,0.41,3,0.001,0.004,0.001,100.00%,100.00%,302,613,100.00%
B,"O&G Industries, Inc.",Beacon Falls Fabrication,6,Naugatuck River,,1679,3281,Y,DSN001,10/27/11,10/19/11,8,N,0.7,5.5,7.03,5,2.5,0.005,0.24,0.6,0.005,0.022,0.001,100.00%,100.00%,68,208,100.00%
B,Tilcon,Tilcon Hartford Concrete,64,Unnamed tributary of CT River,,2038,3273,N,DSN001,10/13/11,10/9/11,4,N,0.5,5,8.18,3.7,23,0.025,1.34,0.05,0.023,0.033,0.004,100.00%,100.00%,19.9,42,100.00%
B,Tilcon,Tilcon Norwich,104,Thames River,,1264,3273,N,Norwich DSN001,10/19/11,10/14/11,5,N,0.5,7.83,8.9,44.4,499,0.67,0.32,0.22,0.031,0.165,0.011,100.00%,100.00%,93.6,45,100.00%
B,Tilcon,Tilcon Pine Orchard Dock,14,Coastal Tidal Waters LIS,,575,4463,Y,Pine Orchard Dock DSN 002,10/19/11,10/14/11,5,N,0.5,5,7.05,7.5,39,0.07,1.62,0.13,0.009,0.019,0.002,100.00%,100.00%,10.77,33,100.00%
B,Tilcon,Tilcon Danbury Stone Terminal,34,Still River,,568,5039,Y,Danbury Stone DSN 001,10/19/11,10/14/11,5,N,0.5,5,7.47,18.7,43,0.1,1.08,0.11,0.014,0.059,0.003,100.00%,100.00%,22.9,587,100.00%
B,Tilcon,Tilcon Danbury Stone Terminal,34,Still River,,568,5039,Y,Danbury Stone DSN 003,10/19/11,10/14/11,5,N,0.5,5,7.66,73.8,185,0.89,1.08,0.3,0.026,0.083,0.018,100.00%,100.00%,221,563,100.00%
B,Tilcon,Tilcon Danbury Stone Terminal,34,Still River,,568,5039,Y,Danbury Stone DSN 002,10/19/11,10/14/11,5,N,0.5,5,7.69,32.1,52,0.025,0.98,0.16,0.015,0.039,0.009,100.00%,100.00%,212,560,100.00%
B,Tilcon,Tilcon Bridgeport,15,LIS via Cedar Creek,,566,4469,Y,Bridgeport DSN 0001,10/19/11,10/14/11,5,N,0.5,6,7.08,61.2,43,0.23,0.72,0.68,0.025,0.094,0.003,70.70%,70.70%,1057,10000,0.00%
B,"O&G Industries, Inc.",Bridgeport Stone Yard,15,LIS,,1560,3281,N,DSN001,10/19/11,10/13/11,6,N,10,5.5,8.6,100,510,0.45,0.5,0.37,0.076,0.031,0.038,100.00%,100.00%,160,96,100.00%
B,"O&G Industries, Inc.",Bridgeport Stone Yard,15,LIS,,1560,3281,N,DSN001,11/16/11,10/19/11,28,N,,,8,,850,,,,0.093,0.44,0.054,,,,,
B,"O'Connor Brothers, Inc",,100,Blackberry River,,2282,1442,N,101,10/19/11,10/14/11,5,N,4.9,7.04,8.18,15.1,114,0.11,2.26,0.1,0.005,0.07,0.02,100.00%,100.00%,90.5,86.9,100.00%
B,"O'Connor Brothers, Inc",,100,Blackberry River,,2282,1442,N,102,11/23/11,10/16/11,38,N,0.5,7.06,6,21.4,0.5,0.63,1.41,0.1,0.005,0.005,0.01,,,,,
B,"O'Connor Brothers, Inc",,100,Blackberry River,,2282,1442,N,103,11/27/12,1/21/12,311,N,2,6,6.97,35.9,82,0.89,1.33,0.65,0.02,0.08,0.03,100.00%,100.00%,39.6,59.9,100.00%
B,"O&G Industries, Inc.",Woodbury Quarry,168,Pomperaug River,,590,1429,N,DSN002,10/19/11,10/14/11,5,N,0.7,5.5,6.65,64,17,0.27,0.67,0.005,0.003,0.003,0.001,100.00%,100.00%,74,121,100.00%
B,"O&G Industries, Inc.",Woodbury Quarry,168,Pomperaug River,,590,1429,N,DSN003,10/19/11,10/14/11,5,N,0.7,6,7.75,86,18,0.03,0.23,1.8,0.002,0.002,0.001,100.00%,100.00%,132,331,100.00%
B,"O'Connor Bros., Inc.","O'Connor Bros., Inc.",100,Blackberry River,,2282,1442,N,102,8/15/12,,,N,4.4,5.38,7.05,75.6,8.5,0.68,2.26,0.1,0.005,0.02,0.01,100.00%,100.00%,47.6,105,100.00%
B,"O&G Industries, Inc.",Beacon Falls Fabrication,6,Naugatuck River,,1679,3281,Y,DSN001,6/12/12,6/5/12,7,N,1,5.5,7.6,38,38,0.11,1.12,0.54,0.007,0.076,0.006,,,,,
B,"O&G Industries, Inc.",Woodbury Quarry,168,Pomperaug River,,590,1429,N,DSN002,9/5/12,8/28/12,8,N,0.7,6.5,7.3,20,7.5,0.01,0.74,0.005,0.0025,0.004,0.001,,,,,
B,"O&G Industries, Inc.",Woodbury Quarry,168,Pomperaug River,,590,1429,N,DSN003,9/5/12,8/28/12,8,N,0.7,6.5,8.05,5,5,0.001,0.55,2.44,0.0025,0.001,0.001,,,,,
B,"O'Connor Bros., Inc.","O'Connor Bros., Inc.",100,Blackberry River,,2282,1442,N,103,9/18/12,,3,N,6.5,5.93,6.58,235,121,1.3,3.93,0.1,0.02,0.07,0.03,,,,,
B,"O&G Industries, Inc.",New Milford Quarry,96,Housatonic River,,1933,1429,N,DSN001,6/12/12,6/2/12,10,N,0.7,5.5,8.04,5,6,0.02,0.5,1.22,0.0025,0.008,0.005,,,,,
B,Dunning Ben,Dunning Sand/Gravel,52,Dunning Lake,,2310,1442,N,outfall sed pond #2,1/31/13,1/28/13,3,N,2.3,7.67,7.55,32,560,1.5,3.99,0.71,0.081,0.138,0.038,100.00%,100.00%,56,1438,100.00%
B,"O&G Industries, Inc.",New Milford Quarry,96,Housatonic River,,1933,1429,N,DSN001,1/11/13,12/27/12,,N,0.5,5.5,7.5,5.5,3.3,0.005,0.63,3.12,0.0005,0.0005,0.008,,,,,
B,Stafford Sand and Gravel,Stafford Sand and Gravel,134,,3101-00-3-R2,2049,1429,N,DSN-001,5/8/12,5/1/12,,N,0.7,,6.66,27,2.5,0.03,0.35,0.1,0.0025,0.117,0.003,100.00%,100.00%,20,100,100.00%
B,"O&G Industries, Inc.",Prospect Quarry,115,Naugatuck Basin,,1081,1429,N,DSN-001,10/19/12,10/15/12,,N,0.7,5.5,5.62,5,2.5,0.07,0.3,0.1,0.0025,0.016,0.001,100.00%,100.00%,12,21,100.00%
B,"O&G Industries, Inc.",Bridgeport Stone Yard,15,Long Island Sound,,1560,3281,N,DSN-001,10/19/12,10/15/12,,N,2.5,5.5,8.15,55,77,0.05,0.5,0.41,0.02,0.073,0.0065,100.00%,100.00%,42,99,100.00%
B,"O&G Industries, Inc.",Woodbury Quarry,168,Pomperaug River,,590,1429,N,DSN002,10/19/12,10/15/12,,N,0.7,6,7.87,5,27,0.06,0.25,2.92,0.006,0.011,0.002,100.00%,100.00%,118,317,100.00%
B,"O&G Industries, Inc.",Woodbury Quarry,168,Pomperaug River,,590,1429,N,DSN003,10/19/12,10/15/12,,N,0.7,6,7.87,5,13,0.02,1.41,2.39,0.0025,0.009,0.001,100.00%,100.00%,122,334,100.00%
B,"O&G Industries, Inc.",Prospect Quarry,115,Naugatuck Basin,,1081,1429,N,DSN-001,6/2/12,5/29/12,,N,0.8,6,5.67,5,16,0.02,0.42,0.29,0.0025,0.021,0.001,,,,,
B,Haynes Materials Comp,Oxford,108,"Little River, Naugatuck River Watershed",,1523,1429,N,Oxford,3/28/12,3/13/12,,N,0.95,5.1,6.72,18,270,0.22,1.53,0.12,0.014,0.021,0.008,100.00%,100.00%,322,1294,100.00%
B,Haynes Materials Comp,Seymour Concrete Plant,124,Nickel Mine Brook,,1503,3273,N,Seymour,3/28/12,3/13/12,,N,2.8,9.3,9.97,22,49,0.09,0.73,1.86,0.01,0.02,0.001,100.00%,100.00%,176,472,85.00%
