Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,STORM-B460-A025 (OF-001),09/04/12,08/18/12,17,N,0.5,5.24,5.66,120,27,0.18,2.1,1.2,0.024,0.46,0.11,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Barb Road-A028 (OF-002),09/04/12,08/18/12,17,N,0.5,5.24,7.07,38,110,0.42,1.4,0.14,0.01,0.027,0.011,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Yatch-A029 (OF-003),09/04/12,08/18/12,17,N,0.5,5.24,5.65,34,12,0.13,1.6,0.98,0.48,0.25,0.01,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,SUBSCOL B519-A026 (OF-004),09/04/12,08/18/12,17,N,0.5,5.24,6.63,49,4,0.096,1.4,1.6,0.054,0.38,0.0025,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B89-A024 (OF-005),09/04/12,08/18/12,17,N,0.5,5.24,6.83,0.5,120,0.21,0.83,0.19,0.018,0.092,0.12,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B89-A023 (OF-006),09/04/12,08/18/12,17,N,0.5,5.24,6.78,33,9,0.048,0.25,0.058,0.013,0.045,0.016,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Ballfield-A027 (OF-007),09/04/12,08/18/12,17,N,1,5.24,6.75,13,64,0.25,0.25,0.27,0.0061,0.023,0.0081,,,,,
I,Christopher Jewell,Collins & Jewell Co. Inc.,104,Elisha Brook,,002370,3441,N,Outfall #1,05/01/12,04/22/12,9,N,0.7,7,6.82,39,5.5,0.04,0.96,0.61,0.02,0.199,0.004,,,,,
I,Christopher Jewell,Collins & Jewell Co. Inc.,104,Elisha Brook,,002370,3441,N,Outfall #2,05/01/12,04/22/12,9,N,0.7,7,6.55,39,13,1.1,1.92,0.69,0.012,0.755,0.004,77.50%,25.90%,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-2,03/28/12,03/01/12,27,N,4.8,4.75,6.12,132,25.5,0.7,7.83,1.78,0.192,0.726,0.011,37.40%,17.70%,28,175,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-6,03/28/12,03/01/12,27,N,3.6,4.75,6.53,68,17.5,0.24,5.31,0.65,0.094,0.246,0.0025,100.00%,43.10%,14,104,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-11,03/28/12,03/01/12,27,N,1.7,4.75,6.59,18,18,0.19,3.16,0.4,0.084,0.197,0.007,100.00%,30.40%,16,95,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-4,03/28/12,03/01/12,27,N,0.7,4.75,6.56,2.5,48.5,0.17,3.02,0.29,0.032,0.289,0.009,100.00%,70.70%,4,40,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-10,03/28/12,03/01/12,27,N,1.8,4.75,6.46,30,50.5,0.27,4.46,0.31,0.096,0.249,0.019,100.00%,70.70%,12,122,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-14,03/28/12,03/01/12,27,N,1.6,4.75,6.61,42,72,0.66,6.31,1.02,0.125,0.369,0.025,100.00%,72.00%,32,303,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-19,03/28/12,03/01/12,27,N,1.3,4.75,6.86,18,90.5,0.23,4.46,0.7,0.121,0.295,0.025,100.00%,84.50%,26,416,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-25,03/28/12,03/01/12,27,N,2.7,4.75,6.57,12,115.5,0.42,10.15,0.61,0.042,0.565,0.033,100.00%,70.70%,26,293,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-29,03/28/12,03/01/12,27,N,1.2,4.75,6.74,20,103.5,0.05,5.78,2.4,0.036,0.285,0.02,100.00%,100.00%,82,553,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-1,03/28/12,03/01/12,27,N,6.6,4.75,5.88,66,46.5,0.27,7.83,2.03,0.079,3.035,0.015,39.90%,17.10%,24,141,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-6,03/28/12,03/01/12,27,N,2.5,4.75,6.25,66,36,0.32,4.46,0.48,0.066,0.357,0.009,100.00%,93.90%,20,130,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-12,03/28/12,03/01/12,27,N,4.5,4.75,6.25,38,21,0.1,3.44,0.81,0.068,0.589,0.015,35.40%,25.00%,14,87,
I,LBI,"LBI, Inc",059,Thames River,,001924,,,,11/10/11,,,N,1,5.58,6,5,42,0.01,0.07,1,0.17,0.36,0.01,8.84%,8.84%,200,176,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,STORM-B460-B025 (OF-001),11/27/12,11/13/12,,N,0.5,6.57,6.84,72,2.5,0.068,1.4,0.46,0.0087,0.075,0.017,100.00%,100.00%,28,396,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Barb Road-B028 (OF-002),11/27/12,11/13/12,,N,0.5,6.57,6.85,33,2.5,0.018,0.25,0.4,0.001,0.0043,0.001,100.00%,100.00%,78,774,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Yacht-B029 (OF-003),11/27/12,11/13/12,,N,0.5,6.57,6.75,26,2.5,0.048,0.25,0.37,0.29,0.068,0.005,6.25%,6.25%,16,132,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,SUBSCOL B519-B026 (OF-004),11/27/12,11/13/12,,N,0.5,6.57,7.15,11,2.5,0.03,0.25,0.44,0.017,0.19,0.001,100.00%,70.70%,8,35,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B89-B024 (OF-005),11/27/12,11/13/12,,N,1.6,6.57,7.45,41,2.5,0.078,0.59,0.31,0.0098,0.072,0.0056,100.00%,100.00%,6,53,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B85-B023 (OF-006),11/27/12,11/13/12,,N,1,6.57,7.06,46,2.5,0.1,0.96,0.27,0.07,0.11,0.006,100.00%,18.00%,20,263,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Ballfield-B027 (OF-007),11/27/12,11/13/12,,N,1.7,6.57,7.21,250,9.2,0.088,0.94,0.33,0.01,0.029,0.001,100.00%,100.00%,10,263,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,015,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,DD-1 (Drydock),10/19/12,10/15/12,,N,0.7,6.56,6.67,5,6,0.01,0.48,0.22,0.013,0.042,0.001,100.00%,71.50%,4,19,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,015,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,SF-1 (Sheetflow),10/19/12,10/15/12,,N,0.7,6.56,6.6,5,2.5,0.02,0.66,0.23,0.01,0.042,0.001,100.00%,76.00%,2,20,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B460-A025 (001),2/29/12,2/24/12,,N,1,7.22,6.71,28,6,0.026,0.25,0.57,0.001,0.012,0.001,100.00%,100.00%,70,1499,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Barb Road-A028 (OF-002),2/29/12,2/24/12,,N,1,7.22,6.59,25,1,0.042,0.9,0.5,0.001,0.0037,0.001,100.00%,100.00%,46,455,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Yatch-A029 (OF-003),2/29/12,2/24/12,,N,1,7.22,6.99,30,3,0.028,0.76,0.54,0.44,0.22,0.012,6.25%,6.25%,54,187,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Subscol B519-A026 (004),2/29/12,2/24/12,,N,1,7.22,7.1,96,21,0.17,1.6,1.4,0.16,0.27,0.0042,100.00%,100.00%,56,207,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B89-A024 (OF-005),2/29/12,2/24/12,,N,1,7.22,7.3,110,43,0.073,1.7,1.6,0.15,0.16,0.027,100.00%,100.00%,34,318,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-B85-A023 (006),2/29/12,2/24/12,,N,1,7.22,6.58,52,20,0.087,1.2,1.3,0.26,0.28,0.018,7.62%,6.66%,62,218,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,Storm-Ballfield-A027 (OF-007),2/29/12,2/24/12,,N,1,7.22,6.98,59,12,0.035,1,1.2,0.15,0.086,0.0076,100.00%,100.00%,62,1905,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-4,3/12/13,2/27/13,,N,2.3,5.79,6.24,30,68.1,2.45,2.57,0.39,0.077,0.832,0.029,100.00%,100.00%,200,2659,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-10,3/12/13,2/27/13,,N,0.55,5.79,6.32,21,4.5,0.0125,0.5,0.28,0.012,0.713,0.0025,100.00%,37.20%,6,66,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-14,3/12/13,2/27/13,,N,0.55,5.79,5.89,18,25.9,0.036,0.5,0.37,0.027,0.106,0.011,100.00%,70.70%,36,1120,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-19,3/12/13,2/27/13,,N,0.55,5.79,6.13,19,24.2,0.0125,1.11,0.27,0.017,0.077,0.0025,100.00%,100.00%,32,1225,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-25,3/12/13,2/27/13,,N,0.55,5.79,6.15,25,21.8,0.06,1.46,0.57,0.017,0.228,0.01,100.00%,100.00%,80,1906,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-29,3/12/13,2/27/13,,N,0.55,5.79,6.06,19,34,0.029,0.5,0.84,0.017,0.078,0.0025,100.00%,100.00%,22,517,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-2,3/12/13,2/27/13,,N,2.3,5.79,6.74,36,87.6,0.872,2.52,0.14,0.08,0.389,0.009,100.00%,100.00%,30,612,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-6,3/12/13,2/27/13,,N,2,5.79,6.35,58,70.5,0.014,1.07,0.23,0.048,0.209,0.006,100.00%,100.00%,100,1258,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-11,3/12/13,2/27/13,,N,6.9,5.79,6.96,71,275,2.56,3.95,0.25,0.106,0.466,0.019,100.00%,61.60%,200,4720,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-1,3/12/13,2/27/13,,N,0.55,5.79,7.54,24,57.5,0.894,1.98,0.27,0.108,0.814,0.017,100.00%,100.00%,200,2594,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-6,3/12/13,2/27/13,,N,1.6,5.79,6.81,17,188,0.111,0.5,0.08,0.09,1.024,0.023,100.00%,100.00%,12,922,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-12,3/12/13,2/27/13,,N,4.4,5.79,6.68,40,129,0.275,1.51,0.06,0.08,0.672,0.017,70.10%,20.30%,40,7420,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,103,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,DD-1 (Drydock),07/23/13,07/14/13,,N,0.7,6.52,6.59,5,2.5,0.04,0.71,0.12,0.023,0.036,0.002,,,,,
I,Hillard Bloom Shellfish,Bridgeport Drydock Corporation,103,Long Island Sound Bridgeport Coastal Area,,001043,3731,N,SF-1 (Sheetflow),07/23/13,07/14/13,,N,0.7,6.52,6.54,5,2.5,0.03,0.65,0.13,0.012,0.033,0.001,,,,,
I,"Buchanan Marine, LP","Buchanan Marine, LP",093,Quinnipiac River,,000570,4492,N,SF-1,04/12/13,04/10/13,,N,0.7,5.81,6.91,5,63,0.14,1.05,0.35,0.027,0.082,0.015,,,,,
I,"Buchanan Marine, LP","Buchanan Marine, LP",093,Quinnipiac River,,002392,4492,N,SF-1,04/12/13,04/10/13,,N,0.7,5.81,6.83,21,41,0.08,0.64,0.17,0.017,0.118,0.014,,,,,
I,J. Goodison Company Inc.,Bridgeport CT,015,Yellow Mil Channel/ Bridgeport Harbor,,none,3731,Y,Outfall 1,05/08/13,,>14 days,N,1.25,7,6.8,62.1,2.5,0.16,0.05,0.89,2.56,0.8,0.008,6.25%,6.25%,28,115.8,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-2,09/12/13,09/03/13,,N,0.6,4.39,6.64,47,5.8,1.35,3.4,0.46,0.068,0.519,0.006,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-6,09/12/13,09/03/13,,N,0.65,4.39,6.36,52,7.6,0.97,1.8,0.4,0.037,0.69,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-11,09/12/13,09/03/13,,N,1.1,4.39,7.07,26,2.4,0.08,1.2,0.05,0.029,0.099,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-1,09/12/13,09/03/13,,N,0.7,4.39,8.05,42,8.2,0.22,0.99,1.31,0.049,0.14,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-12,09/12/13,09/03/13,,N,2.7,4.39,6.38,44,9.4,0.32,1.2,0.43,0.059,0.958,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-6,09/12/13,09/03/13,,N,0.55,4.39,6.6,41,14.8,0.4,1,0.37,0.153,0.397,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-4,09/12/13,09/03/13,,N,0.6,4.39,6.67,35,14.8,0.92,3.3,0.28,0.057,0.586,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-29,09/12/13,09/03/13,,N,0.6,4.39,7.1,28,4,0.06,0.53,0.34,0.049,0.054,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-25,09/12/13,09/03/13,,N,0.55,4.39,7.01,18,2.2,0.14,1.1,1.34,0.02,0.175,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-19,09/12/13,09/03/13,,N,0.6,4.39,6.96,26,3.2,0.12,0.71,1.39,0.121,0.091,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-14,09/12/13,09/03/13,,N,0.55,4.39,6.87,28,2.4,0.025,0.79,1.18,0.043,0.11,0.0025,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-10,09/12/13,09/03/13,,N,0.6,4.39,6.82,22,1.8,0.12,0.69,0.91,0.028,0.282,0.0025,,,,,
I,"Buchanan Marine, LP",New Haven Facilities,093,Quinnipiac River,,000570,3731 & 3732,Y,Outfall 002,12/23/13,12/17/13,,Y,,6.5,,,100,,,,0.02,,,,,,,
I,"Buchanan Marine, LP",New Haven Facilities,093,Quinnipiac River,,002392,3731 & 3732,Y,Outfall 001,12/23/13,12/17/13,,Y,,6.5,,,,,,,0.12,,,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-2,03/12/14,02/21/14,,N,,,,,,0.82,19,,0.749,4.075,0.062,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-6,03/12/14,02/21/14,,N,,,,,,,6.8,,0.689,3.625,0.055,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,NWW-11,03/12/14,02/21/14,,N,,,,,197,0.025,6.9,,0.591,4.833,0.04,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-4,03/12/14,02/21/14,,N,,,,,,0.35,4.5,,0.084,0.292,0.017,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-10,03/12/14,02/21/14,,N,,,,,,,,,0.196,0.668,0.04,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-14,03/12/14,02/21/14,,N,,,,,,1.7,44,,0.722,2.204,0.126,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-19,03/12/14,02/21/14,,N,,,,,,,3.8,,0.235,0.504,0.034,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-25,03/12/14,02/21/14,,N,,,,,,,8.4,,0.088,0.485,0.027,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SD-29,03/12/14,02/21/14,,N,,,,,,,0.86,3.137,0.013,0.208,0.018,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-1,03/12/14,02/21/14,,N,,,,,,,13,,2.001,8.97,0.307,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-6,03/12/14,02/21/14,,N,,,,,,,,,0.233,1.412,0.034,,,,,
I,Electric Boat Corporation,Electric Boat Corporation,059,Thames River,,000669,3731,Y,SWW-12,03/12/14,02/21/14,,N,,,,,,,,,0.629,2.894,0.046,,,,,
I,"Buchanan Marine, LP",New Haven Facilities,093,Quinnipiac River,,000570,3731 & 3732,Y,Outfall 002,04/15/14,04/08/14,,N,,5.5,,,22,,,,0.02,,,,,,,
I,"Buchanan Marine, LP",New Haven Facilities,093,Quinnipiac River,,002392,3731 & 3732,Y,Outfall 001,04/15/14,04/08/14,,N,,5.5,,,,,,,0.047,,,,,,,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,BLDG 174 CB C759 (Outfall 17),03/12/14,02/21/14,,N,0.55,5.58,6.77,110,52,0.34,2.3,0.64,0.1,0.34,0.044,100.00%,100.00%,16,1386,
I,Naval Submarine Base New London,Naval Submarine Base New London,059,Thames River,,000679,9711,Y,BLDG 88 CB C530 (Outfall 22A),03/12/14,02/21/14,,N,0.5,5.58,6.58,42,32,0.091,1.1,0.35,0.03,0.16,0.0067,85.20%,67.00%,8,202,
I,SUBASE New London,Naval Submarine Base New London,059,Thames Rvier,,000679,9711,Y,Bldg 535-CB775 (outfall 006),11/07/13,11/01/13,,N,0.5,5.66,6.1,11,5.6,0.067,0.25,0.12,0.073,0.073,0.001,,,,,
I,SUBASE New London,Naval Submarine Base New London,059,Thames Rvier,,000679,9711,Y,Bldg 602-CB C774-1 (outfall 007),11/07/13,11/01/13,,N,2.1,5.85,7.06,18,11,0.035,0.25,0.15,0.0082,0.039,0.001,100.00%,100.00%,6,24,
I,SUBASE New London,Naval Submarine Base New London,059,Thames Rvier,,000679,9711,Y,ARDM-4 CB C764 (Outfall 15),11/07/13,11/01/13,,N,0.5,5.85,6.88,54,31,0.75,1.7,0.4,0.036,0.13,0.056,100.00%,100.00%,10,46,
I,SUBASE New London,Naval Submarine Base New London,059,Thames Rvier,,000679,9711,Y,Bldg 174 CB C759 (outfall 17),11/07/13,11/01/13,,N,1.6,5.66,7.28,42,36,0.26,0.78,0.26,0.03,0.18,0.022,100.00%,100.00%,8,44,
I,SUBASE New London,Naval Submarine Base New London,059,Thames Rvier,,000679,9711,Y,Bldg 88 CB C530 (Outfall 22A),11/07/13,11/01/13,,N,1.6,5.66,6.5,63,17,0.12,0.96,0.22,0.021,0.14,0.012,100.00%,100.00%,6,37,
