Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur
H,"Portland Boat Works, Inc. ",,113,CT River,CT4000-00 02,000270,4493,Y,Outfall 001,10/14/11,,,N,1.00,6.90,6.60,10,7,0.025,0.14,0.05,0.047,0.015,0.015,43.50%,17.10%,2,16.2,0.00%
H,"Crocker's Boatyard, Inc.","Crocker's Boatyard, Inc.",095,Shaws Cove (Off Thames River),,002437,4493,Y,Outfall 001,11/16/11,11/11/11,5,N,2.50,5.41,7.12,50.9,13,0.11,1.59,2.52,1.58,0.97,0.011,,,,,
H,Westbrook Marine Center,Westbrook Marine Center,154,Patchogue River,,002470,1527,,Oufall 001,11/10/11,10/28/11,13,N,2.50,4.96,6.68,10639,204,9.99,0.25,0.42,0.62,0.13,0.004,,,,,
H,"Hull Harbor, Inc. DBA Harbor One Marina",,106,LIS EB CT River,CT-E1_024-SB,002312,4493,Y,Outfall 001,10/19/11,,,N,3.6,7,6.6,44,56,0.13,1.8,0.9,0.023,0.069,0.015,100.00%,100.00%,26,244,85.00%
H,Indian Harbor Yacht Club,Indian Harbor Yacht Club,057,Greenwich Harbor,CT-W1 021-SB,002367,7997,Y,Outfall #1,11/22/11,11/16/11,6,N,0.5,5.21,7.24,62,2,0.41,1.68,0.59,0.09,0.09,0.025,,,,,
H,Indian Harbor Yacht Club,Indian Harbor Yacht Club,057,Greenwich Harbor,CT-W1 021-SB,002367,7997,Y,Outfall #2,11/22/11,11/16/11,6,N,0.5,5.21,6.24,31,3,0.15,0.7,0.54,0.025,0.05,0.025,,,,,
H,Riverside Yacht Club,Riverside Yacht Club,057,Cos Cob Harbor ,CT-W2_022,001891,7997,Y,Outfall #1,11/22/11,11/16/11,6,N,7.1,4.79,7.4,185,228,2.45,21.9,1.55,4.2,1.54,0.025,,,,,
H,Riverside Yacht Club,Riverside Yacht Club,057,Cos Cob Harbor ,CT-W2_022,001891,7997,Y,Outfall #2,11/22/11,11/16/11,6,N,0.5,4.79,7.04,92,28,0.29,1.75,2.04,0.025,0.04,0.025,,,,,
H,The Belle Haven Club,The Belle Haven Club,057,Byram Harbor,CT-W2_024,002452,7997,Y,BHC #1,11/22/11,11/16/11,6,N,0.5,6.12,6.95,68,6,0.15,0.91,1.35,0.025,0.08,0.025,,,,,
H,Reynold Garage & Marine,Reynold Garage & Marine,075,Hamburg Cove on Eight Mile River,,001720,5551,Y,Outfall 001,11/10/11,10/30/11,11,N,2.5,5.28,7.2,117,14,0.2,0.25,1.24,0.103,0.08,0.009,,,,,
H,"Urstadt Biddle Properties, Inc.",Stratford Boardwalk Marina,138,Housatonic River,,001901,4493,Y,CB-1,10/19/11,10/14/11,5,N,1.25,5.4,6.49,120,8,0.05,0.25,0.3,0.26,0.16,0.0065,6.25%,6.25%,4.8,47,0.00%
H,"Urstadt Biddle Properties, Inc.",Stratford Boardwalk Marina,138,Housatonic River,,001901,4493,Y,CB-2,10/19/11,10/14/11,5,N,1.25,5.4,6.22,18,21,0.05,0.25,0.21,0.098,0.09,0.0065,100.00%,70.70%,6.6,23,0.00%
H,"BFPM, Inc",Brewer Ferry Point Marina,106,CT River,,000271,,N,#4,01/12/12,,,N,2.5,6,5,1,4,0.01,0.61,0.54,0.031,0.01,0.0005,53.60%,52.30%,0.5,9,0.00%
H,"BFPM, Inc",Brewer Ferry Point Marina,106,CT River,,000271,,N,#2,01/12/12,,,N,2.5,6,5.3,5.49,16,0.01,0.25,0.54,0.077,0.01,0.001,17.10%,15.90%,0.14,0.05,0.00%
H,Harry's Marine,,154,,,000462,,N,,12/07/11,11/29/11,8,N,1,5.37,6.49,6,72,0.02,0.014,0.33,0.03,0.06,0.001,100.00%,100.00%,206,2490,100.00%
H,Shennecossett Yacht Club,,059,LIS,E1-013,002381,7997,N,lift well,01/12/12,12/22/11,21,N,2.5,5,7.02,26.7,181,0.32,0.25,0.65,0.204,0.08,0.004,,,,,
H,James Hays,Hays Haven Marina,026,Connecticut River,,002155,4493,Y,Outfall #001,03/28/12,03/25/12,3,N,2.5,6.12,7.5,321,840,2.98,4.83,0.99,0.184,0.15,0.038,100.00%,100.00%,56.7,130,100.00%
H,"Sea Bound Marine, Inc",Essex Island Realty,050,Connecticut River,,000189,4493,N,Essex Island Bulk Head Sheet Flow,09/04/12,08/18/12,17,N,1.4,5,6.6,48,65,0.4,1.2,1,0.61,0.1,0.0047,,,,,
H,Austin Iodice,Norwest,103,Norwalk River,,001041,,N,Brooks/Stormwater,09/19/12,,,N,2,5.98,5.81,132,20,0.335,1.68,0.1,0.201,0.127,0.00375,100.00%,100.00%,48,273,100.00%
H,Spencer's Marina,Spencer's Marina,084,Milford Harbor,,001051,4493,Y,Outfall #1 (SM-OF-1),08/27/12,08/18/12,9,N,1.6,,6.8,120,220,1.19,4.22,5.01,2.8,0.387,0.021,,,,,
H,"Sea Bound Marine, Inc",Essex Island Realty,050,Connecticut River,,000189,4493,N,Essex Island Bulk Head Sheet Flow,09/18/12,09/07/12,11,N,,4.7,,,,,,,,,,31.90%,6.25%,,338,0.00%
H,Tobey Russ,Three Belles Marina,045,Smith Cove Niantic River,,001997,4493,N,Outfall #1,03/28/12,03/25/12,3,N,2.5,4.95,7.8,54.1,102,0.05,2.26,0.69,1.74,0.6,0.014,8.77%,6.25%,21.7,123,0.00%
H,Mystic Shipyard,Mystic Shipyard,137,"Mystic River, Long Island Sound",,002390,,N,Stafford St,04/22/12,04/12/12,10,N,2.5,6.29,5.3,24.3,114,0.34,0.78,0.53,0.058,0.08,0.0005,23.30%,17.10%,3.56,28,0.00%
H,Rex Marine Center Inc.,Rex Marine Center ,103,Norwalk Harbor-Long Island Sound,,002465,4493,N,Outfall #5,08/27/12,08/18/12,9,N,3.5,,7.42,37.5,158,0.359,1.33,1.66,2.16,0.618,0.0378,6.25%,6.25%,106,1156,0.00%
H,Rex Marine Center Inc.,Rex Marine Center ,103,Norwalk Harbor-Long Island Sound,,002465,4493,N,Outfall #3,08/27/12,08/18/12,9,N,2.6,,6.04,35.9,24,0.246,1.68,0.31,0.556,0.278,0.008,6.25%,6.25%,22,203,0.00%
H,Norwest Marine Inc.,Norwest Marine Inc.,137,Pawcatuck River,,001078,,N,Drainsite,09/18/12,,,N,2.4,,6.85,15,2,0.05,0.05,0.27,0.016,0.019,0.001,100.00%,100.00%,445,4190,100.00%
H,BLP Marine,Fort Rachel Marina,137,Mystic River,,000663,4493,N,Outfall #2,03/28/12,03/25/12,3,N,2.5,6.2,7.15,42.6,124,0.13,1.28,1.49,0.377,0.25,0.018,6.25%,6.25%,15,93,0.00%
H,Marina on Palmer Cove LLC,Palmers Cove Marina,059,Palmer Cove,,001137,5551,Y,Ramp,03/28/12,02/24/12,33,N,2.5,,5.84,89.4,561,0.49,1.47,0.72,0.119,0.04,0.002,16.90%,6.25%,3.4,36,0.00%
H,Connors and O'Brien Marina,Connors and O'Brien Marina,137,Pawcatuck River,,002418,4493,Y,Outfall 1 (CO OF-1),09/19/12,09/05/12,14,N,2.4,6.78,6.37,26,41,0.89,0.82,0.23,3,0.608,0.019,,,,,
H,EBB Tide Boat Rental Inc.,EBB Tide Boat Rental Inc.,057,,,002294,,,,10/02/12,,,N,3.22,6.88,6.7,30,5,0.762,1.32,0.376,0.352,0.111,0.00395,6.25%,6.25%,12,18,0.00%
H,Guilford Boat Yard Inc,Guilford Boat Yards,060,West River,,000536,4493,Y,Outfall #001,09/28/12,09/18/12,10,N,1.85,4.8,5.78,14,2.5,0.05,0.93,0.78,0.601,0.14,0.006,,,,,
H,"Dodson Boatyard, LLC",Dodson Boatyard,137,Stonington Harbor,,001651,4493,N,Outfall 2 (DBY OF-2),09/18/12,09/05/12,13,N,8.7,6.78,7.27,47,250,1.93,6.86,0.49,11.5,3.8,0.655,,,,,
H,Gwenmor Marina,Gwenmor Marina,137,Mystic Harbor,,002313,4493,N,Outfall 1 (GM OF-1),09/18/12,09/05/12,13,N,4.5,6.78,7.74,350,220,2.34,25.2,0.005,16.2,2.07,0.041,,,,,
H,"Dept. of Parks and Recreation, Town of Greenwich",Grass Island Marina,057,Long Island Sound,,002430,4493,N,Outfall Location Two,04/22/12,,>72 hours,N,2.5,6.21,7.81,26,2.5,0.05,0.5,0.05,0.04,0.02,0.0065,100.00%,100.00%,27,81,100.00%
H,Bruce & Johnson's Marina,Bruce & Johnson's Marina,014,Branford River,,000647,,N,Outfall-Main Yard B-Dock,02/29/12,,>7 days,N,0.25,7.1,7.15,240,306,0.025,1.31,1.75,0.353,0.129,0.00407,100.00%,100.00%,418,4990,100.00%
H,Bruce & Johnson's Marina,Bruce & Johnson's Marina,014,Branford River,,000647,,N,Outfall-Main Yard Lfi Well ,02/29/12,,>7 days,N,0.25,7.43,7.23,170,130,0.025,1.06,2.58,0.528,0.155,0.0015,6.25%,6.25%,386,3190,0.00%
H,Bruce & Johnson's Marina,Bruce & Johnson's Marina,014,Branford River,,002061,,N,Outfall-West Yard,02/29/12,,,N,0.25,6.86,6.95,43,11,0.025,0.6,0.739,0.067,0.0314,0.003,93.90%,70.70%,28,63,0.00%
H,Robert Garbarino,Mystic River Marina,137,Mystic River Watershed,,000348,4493,N,Outfall #2,05/22/12,05/17/12,5,N,2.5,7.28,5.9,21.3,44,0.39,0.25,0.62,1.06,0.24,0.012,6.25%,6.25%,5.66,19,
H,Robert Garbarino,Mystic River Marina,137,Mystic Rivershed ,,000348,4493,N,Outfall #1,05/22/12,05/17/12,5,N,2.5,7.28,6.4,26.3,24,0.14,0.25,0.55,0.62,0.22,0.035,6.25%,6.25%,15.1,82,
H,Mike Stahl,Whitey's Marina,037,Housatonic River,,002287,4493,Y,Outfall #002,05/21/12,05/16/12,5,N,1,5.5,5.3,115,49,0.49,3.35,0.27,0.055,0.089,0.015,100.00%,100.00%,15,35,80.00%
H,"Sea Bound Marine, Inc",Essex Island Realty,050,Connecticut River,,000189,4493,N,Essex Island Bulk Head Sheet Flow,05/15/12,05/09/12,6,N,1,4.6,6.8,30,22,0.14,0.25,0.1,0.22,0.073,0.001,,,,,
H,Petzold's Marine Center,Petzold's Marine Center,113,Connecticut River,,000398,4493,Y,Outfall #2 (PMC OF-2),06/12/12,06/06/12,6,N,2.4,6.79,7.12,170,150,0.39,2.24,1.1,2.03,0.539,0.014,,,,,
H,Boats Inc.,Boats Inc.,045,Niantic River,,002443,5551,Y,CB1,03/28/12,03/25/12,3,N,2.5,,5.2,27.3,9,0.09,2.29,0.71,0.02,0.1,0.001,100.00%,76.20%,56.7,48,10.00%
H,Gene Pacapelli,West Cove Marina,156,West River,,001013,4493,Y,In Middle of Yard Near Travel Lift Well,05/22/12,05/18/12,4,N,0.5,6.98,7.24,0.5,1,0.05,2.91,0.2,0.025,0.01,0.025,100.00%,100.00%,18,29,100.00%
H,James Lewis,Gales Ferry Marina,072,Clark Cove/Thames River,,000713,4493,N,55 Chapman Lane,05/01/12,,,N,0.8,6.79,6.43,20,44,0.03,0.15,0.14,0.34,0.13,0.014,6.25%,6.25%,6,38,0.00%
H,Myriam Clarkson,Niantic Dockominium Association,093,LIS EB Inner-Niantic River (Mouth) Niantic,CT-E1-20,002453,4493,Y,Outfall #001,03/28/12,03/25/12,3,N,0.7,6.44,6.65,29,106,0.21,0.88,1.02,2.62,0.94,0.02,,,,,
H,Harry's Marine Repair ,Harry's Marine,154,,,000462,4493,N,Harry's Marine,05/09/12,05/04/12,5,N,0.7,5.33,6.4,20,12,0.02,0.19,0.38,0.01,0.03,0.0025,,,,,
H,Petzold's Marine Center,Spencer's Marina,113,Connecticut River,,000398,4493,Y,Outfall 2 (PMC OF-2),03/28/12,03/25/12,3,N,3.6,6,7.11,5,230,0.34,1.18,0.28,1.13,0.26,0.016,8.50%,6.25%,10,27,0.00%
H,Rex Marine Center Inc.,Rex Marine Center ,103,Norwalk Harbor-Long Island Sound,,002465,4493,N,Outfall #3,05/01/12,04/22/12,9,N,8.9,5.15,7.12,252,14,0.162,1.33,2,5.22,2.56,0.08,6.25%,6.25%,276,610,0.00%
H,Rex Marine Center Inc.,Rex Marine Center ,103,Norwalk Harbor-Long Island Sound,,002465,4493,N,Outfall #5,05/01/12,04/22/12,9,N,6.6,5.15,6.85,100,47,0.243,1.19,2,3.87,1.39,0.0564,6.25%,6.25%,88,212,0.00%
H,Andy Helbig,Noank Village Boatyard,059,Mystic River,,001164,4493,N,Outfall #001,09/04/12,08/28/12,7,N,2.5,4.78,6.51,11.4,18,0.16,0.25,1.19,0.4,0.26,0.012,6.25%,6.25%,15.3,62,0.00%
H,"Captain's Cove Marina of Bridgeport, Inc.",Captain's Cove Seaport,015,Long Island Sound/ Black Rock Harbor,,001734,4493,N,Outfall #1 Liftwell,04/22/12,04/01/12,21,N,2.5,6.47,5.7,23.3,24,0.18,0.25,0.54,0.047,0.06,0.001,35.40%,35.40%,,32,0.00%
H,"Captain's Cove Marina of Bridgeport, Inc.",Captain's Cove Seaport,015,Long Island Sound/ Black Rock Harbor,,001734,4493,N,Outfall #2 Boardwalk,04/22/12,04/01/12,21,N,2.5,6.47,5.9,9.48,14,0.11,0.72,0.56,0.069,0.08,0.005,36.30%,25.00%,,33,0.00%
H,"Captain's Cove Marina of Bridgeport, Inc.",Captain's Cove Seaport,015,Long Island Sound/ Black Rock Harbor,,001734,4493,N,Outfall #3 Restaurant,04/22/12,04/01/12,21,N,2.5,6.47,5.8,15.4,19,0.17,1.39,0.53,0.054,0.06,0.002,35.40%,26.20%,,32,0.00%
H,Mystic Shipyard,Mystic Shipyard,137,"Mystic River, Long Island Sound",,001557,4493,N,100 Essex St,04/22/12,04/12/12,10,N,2.5,6.29,6.8,58.8,60,0.32,0.25,1.55,0.26,0.2,0.012,7.62%,6.25%,,2310,0.00%
H,Riverside Yacht Club,Riverside Yacht Club,057,Cos Cob Harbor,CT-W2 022,001891,7997,N,Outfall #1,05/15/12,05/10/12,5,N,0.5,5.1,7.3,62,40,0.4,2.87,1.81,0.92,0.46,0.025,6.25%,6.25%,210,1126,0.00%
