Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Danny Corp,,064,Park River,4400-01_02,000683,5093,N,OF #1,10/19/11,10/15/11,4,N,1.00,6.20,7.40,12,17,0.060,0.430,0.300,0.005,0.068,0.015,100.00%,90.60%,79,253,45.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Danny Corp,,064,Park River,4400-01_02,000683,5093,N,OF #2,10/19/11,10/15/11,4,N,3.60,6.20,6.00,58,139,0.110,1.390,0.600,0.188,0.269,0.091,95.50%,54.50%,25,21,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Danny Corp,,064,Park River,4400-01_02,000683,5093,N,OF #3,10/19/11,10/15/11,4,N,1,6.20,6.80,55,6,0.08,0.94,0.7,0.014,0.015,0.015,100.00%,100.00%,14,54,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Danny Corp,,064,Park River,4400-01_02,000683,5093,N,OF #4,10/19/11,10/15/11,4,N,1,6.20,7.50,25,4,0.1,0.85,0.8,0.013,0.043,0.015,100.00%,100.00%,106,343,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Danny Corp,,064,Park River,4400-01_02,000683,5093,N,OF #5,10/19/11,10/15/11,4,N,1,6.20,7.10,23,4,0.06,0.58,0.05,0.043,0.073,0.015,100.00%,100.00%,88,274,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Danny Corp,,064,Park River,4400-01_02,000683,5093,N,OF #6,10/19/11,10/15/11,4,N,2.2,6.20,7.60,45,5,0.025,0.67,0.9,0.005,0.015,0.015,100.00%,52.30%,120,352,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Metal Management Aerospace ,Sims Metal Management Aerospace,064,Unnamed swale to CT River,,002206,5093,N,Sample site 1,10/19/11,10/14/11,5,N,1.50,4.35,6.43,61,33,0.09,1.1,1.1,0.016,0.132,0.005,100.00%,100.00%,104,1240,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Metal Management Aerospace ,Sims Metal Management Aerospace,064,Unnamed swale to CT River,,002206,5093,N,Sample site 7,10/19/11,10/14/11,5,N,3.1,4.35,6.21,46,2.5,0.05,0.95,0.14,0.006,0.039,0.001,100.00%,100.00%,38,330,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Metal Management Aerospace ,Sims Metal Management Aerospace,064,Unnamed swale to CT River,,002206,5093,N,Sample site 5,10/19/11,10/14/11,5,N,2.1,4.35,6.09,61,19,0.06,0.75,0.21,0.013,0.079,0.010,100.00%,100.00%,10,24,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,"Central Scrap Metal Co., Inc.","Central Scrap Metal Co., Inc.",151,Beaver Pond,,001630,5098,N,Outfall 2 catchbasin 4,10/19/11,,>3,N,2.5,6.39,7.02,49,16,0.13,1.57,0.29,0.080,0.080,0.007,28.50%,15.30%,4,22,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
