Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,"O&G Industries, Inc.",New Milford Asphalt,096,Still River,,000587,2951,N,DSN005,10/12/11,10/03/11,9,N,0.80,5.50,8.12,15.0,7.0,0.070,0.430,0.920,0.005,0.001,0.001,100.00%,100.00%,202,584,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wauregan,110,James Brook  Quanduck Brook,,000580,2951,N,Wauregan DSN 001,10/13/11,10/04/11,9,N,0.50,8.02,6.69,7.5,1.0,0.025,1.170,0.050,0.003,0.068,0.002,100.00%,100.00%,145.8,338,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wilsonville,141,French River,,000582,2951,N,Wilsonville DSN 001,10/27/11,10/20/11,7,N,0.5,7.98,6.57,18.7,3.0,0.025,1.28,0.76,0.02,0.028,0.001,100.00%,100.00%,29.2,150,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wilsonville,141,French River,,000582,2951,N,Wilsonville DSN002,10/27/11,10/20/11,7,N,0.5,7.90,6.59,28.9,17.0,0.025,1.48,0.05,0.01,0.027,0.002,100.00%,100.00%,30.2,142,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wilsonville,141,French River,,000582,2951,N,Wilsonville DSN003,10/27/11,10/20/11,7,N,0.5,7.83,6.57,22.2,4.0,0.025,0.86,0.22,0.008,0.014,0.001,100.00%,100.00%,28.2,144,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Newington,094,Piper Brook River,4402,001437,2951,N,Newington DSN004,10/13/11,10/04/11,9,N,0.5,7.97,7.64,0.5,73.0,0.17,0.94,0.14,0.006,0.042,0.003,100.00%,100.00%,147.2,322,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Newington,094,Piper Brook River,4402,001437,2951,N,Newington DSN005,10/13/11,10/04/11,9,N,0.5,8.00,7.40,0.5,7.0,0.025,1.16,0.69,0.005,0.024,0.001,100.00%,100.00%,211,423,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Newington,094,Piper Brook River,4402,001437,2951,N,Newington DSN 003,10/13/11,10/04/11,9,N,0.5,7.91,7.61,0.5,13.0,0.025,1.22,0.05,0.0025,0.036,0.001,100.00%,100.00%,177.6,424,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Manchester,077,Hockanum River,,001436,2951,N,Manchester DSN 004A,10/13/11,10/04/11,9,N,0.5,7.98,7.04,7.5,6.0,0.025,1.2,0.05,0.006,0.016,0.003,100.00%,100.00%,48.4,222,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Manchester,077,Hockanum River,,001436,2951,N,Manchester DSN 004B,10/13/11,10/04/11,9,N,0.5,7.99,6.39,3.7,4.0,0.11,1.32,4.35,0.006,0.016,0.003,100.00%,100.00%,54.8,233,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Manchester,077,Hockanum River,,001436,2951,N,Manchester DSN005,10/13/11,10/04/11,9,N,0.5,8.01,6.47,0.5,0.5,0.12,2.22,3.93,0.005,0.021,0.002,100.00%,100.00%,52,234,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Groton,059,,,001330,2951,,Groton DSN 001,10/13/11,10/04/11,9,N,2.4,4.00,7.17,32.1,35.0,0.09,0.72,0.05,0.007,0.057,0.007,100.00%,100.00%,10.6,35,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wallingford,148,Spring Brook,,000583,2951,N,Wallingford DSN 001A,10/19/11,10/13/11,6,N,0.5,5.00,7.07,18.7,91.0,0.28,0.88,0.05,0.028,0.075,0.005,100.00%,100.00%,13,26,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wallingford,148,Spring Brook,,000583,2951,N,Wallingford DSN 003,10/19/11,10/13/11,6,N,0.5,5.00,8.09,0.5,117.0,0.025,1.52,0.65,0.061,0.054,0.004,100.00%,100.00%,204,416,90.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wallingford,148,Spring Brook,,000583,2951,N,Wallingford DSN 005,10/19/11,10/13/11,6,N,2.4,5.00,6.83,3.7,0.5,0.025,1.36,0.05,0.005,0.007,0.001,100.00%,100.00%,45.3,74,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon Wallingford,148,Spring Brook,,000583,2951,N,Wallingford DSN 005B,10/19/11,10/13/11,6,N,0.5,5.00,6.89,0.5,0.5,0.025,1.52,0.05,0.0025,0.008,0.003,100.00%,100.00%,95.4,77,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon New Britain South,089,Quinnipiac River,,000579,2951,Y,New Britain South DSN001,10/19/11,10/14/11,5,N,0.5,5.00,8.67,132.8,4900.0,2.21,4.3,1.64,0.322,0.861,0.085,100.00%,100.00%,302,180,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon New Britain South,089,Quinnipiac River,,000579,2951,Y,New Britain South DSN002,10/19/11,10/14/11,5,N,0.5,5.00,8.64,83.2,4040.0,0.97,1.61,0.78,0.29,1.692,0.099,100.00%,100.00%,143.1,174,90.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon New Britain South,089,Quinnipiac River,,000579,2951,Y,New Britain South DSN003,10/19/11,10/14/11,5,N,0.5,5.00,6.48,317.0,2600.0,1.14,1.18,7.92,0.086,0.677,0.041,100.00%,100.00%,103.2,97,85.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Tilcon,Tilcon New Britain South,089,Quinnipiac River,,000579,2951,Y,New Britain South DSN 004,10/19/11,10/14/11,5,N,0.5,5.00,7.25,47.3,307.0,0.42,4.68,0.7,0.021,0.089,0.016,100.00%,100.00%,46.8,81,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
