Sector,name,site_name,town,rwater,Basin,GSI,SIC,Impaired,samp_location,samp_date,prev_storm,days_last_storm,ice,o_n_g,rain_ph,samp_ph,cod,tss,tp,tkn,no3,tot_copper,tot_zinc,tot_lead,24_hr_lc50,48_hr_lc50,hardness,conduct,per_sur,iron,mercury,alu,hydrocarbon
D,Tom's Foreign Auto Parts,Tom's Foreign Auto Parts,151,"Naugatuck River, Naugatuck Regional Basin",,1126,5015,Y,SW-1,3/31/12,3/24/12,7,N,,,,,,,,,,,,,,,,,0.09,0.0001,0.03,
D,Tom's Foreign Auto Parts,Tom's Foreign Auto Parts,151,"Naugatuck River, Naugatuck Regional Basin",,1126,5015,Y,SW-1,6/22/12,6/13/12,9,N,4.9,5.4,4.89,26.9,51,0.12,0.94,0.46,0.02,0.89,0.02,,,,,,1.91,0.0001,1.5,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,N,Outfall Location One,10/19/11,10/13/11,6,N,2.8,,7.02,110,430,0.44,1.7,0.12,0.374,0.927,1.7,85.58%,70.71%,12,47,0.00%,27.7,0.0001,13.8,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,N,Outfall Location One,3/28/12,,,N,0.7,,6.78,24,170,0.22,0.82,0.03,0.248,0.716,1.05,100.00%,100.00%,28,44,100.00%,,,,
D,Yales Auto Salvage ,Yales Auto Salvage,86,,,1162,5015,N,Outfall Location One,5/1/12,,,N,0.7,,6.86,32,370,0.24,0.98,0.03,0.21,0.558,0.923,70.70%,70.70%,10,34,100.00%,16.2,0.0001,8.1,
D,Auto Parts Depot,Auto Parts Depot,64,CT River Tributary,4000-26-1,1169,5015,N,Outfall Location One,5/1/12,,>72 hours,N,12,,8.08,1500,2700,1.7,2.2,0.17,1.7,11,7.6,100.00%,100.00%,240,273,100.00%,110,0.0002,22,
D,Boyd's Used Auto Parts,Boyd's Used Auto Parts,104,"Shetucket River, Shetucket Regional Basin",,1253,5015,N,SW-1,8/10/12,8/5/12,5,N,3.6,5.32,5.29,300,30,0.04,3.84,0.12,0.032,0.063,0.015,,,,,,14.6,0.0001,0.401,3.6
D,Boyd's Used Auto Parts,Boyd's Used Auto Parts,104,"Shetucket River, Shetucket Regional Basin",,1253,5015,N,SW-2,8/10/12,8/5/12,5,N,3,5.32,6.07,8,16,0.01,1.92,0.04,0.005,0.078,0.003,,,,,,6.4,0.0001,0.144,3.6
D,"Terryville Auto Parts, Inc.","Terryville Auto Parts, Inc.",111,"Pequabuck River, Farmington Regional Basin",,1684,5015,Y,SW-2,3/28/12,3/3/12,25,N,,,,,,,,,,,,,,,,,0.01,0.0001,0.21,
D,"Terryville Auto Parts, Inc.","Terryville Auto Parts, Inc.",111,Pequabuck River Farmington Regional Basin,,1684,5015,Y,SW-2,6/12/12,6/6/12,6,N,3.4,6.72,6.6,20.5,5,0.025,0.65,0.69,0.005,0.01,0.01,,,,,,0.54,0.0001,0.15,5
D,"Terryville Auto Parts, Inc.","Terryville Auto Parts, Inc.",111,"Pequabuck River, Farmington Regional Basin",,1684,5015,Y,SW-2,7/18/12,7/15/12,3,N,,,,,,,,,,,,,,,,,0.02,0.0001,0.01,
D,"Tom's Used Auto Parts, LLC","Tom's Used Auto Parts, LLC",17,"Pequabuck River, Farmington River",,1783,5015,Y,,1/27/12,1/23/12,4,N,1.1,4.23,5.9,63.1,1139,0.6,1.33,0.29,0.06,0.46,0.14,100.00%,16.90%,22.5,27.4,0.00%,23.59,0.0001,23.67,5
D,"Tom's Used Auto Parts, LLC","Tom's Used Auto Parts, LLC",17,"Pequabuck River, Farmington River",,1783,5015,Y,SW-1,5/1/12,4/23/12,7,N,3.1,6,7.18,52.3,132,0.33,1.6,0.29,0.09,0.54,0.2,,,,,,12.3,0.0001,9.23,25
D,Reidville Used Auto Parts,Reidville Used Auto Parts,151,"Beaverpond Brook, Naugatuck Regional Basin",,1794,5015,N,SW-1,5/1/12,4/22/12,9,N,3.5,6.6,7.3,83,148,0.23,2.27,1.35,0.152,1.27,0.343,,,,,,12.5,0.0002,2.88,25
D,"South Windsor Auto Parts, Inc.","South Windsor Auto Parts, Inc.",132,"Sciantic River, Sciantic Regional Basin",,1980,5015,Y,SW-1,11/10/11,10/30/11,11,N,2.2,6.65,6.75,160,260,0.1,2.1,0.025,0.062,0.264,0.368,100.00%,100.00%,10,35,100.00%,9.5,0.0001,6.79,
D,"South Windsor Auto Parts, Inc.","South Windsor Auto Parts, Inc.",132,"Sciantic River, Sciantic Regional Basin",,1980,5015,Y,SW-1,4/22/12,4/1/12,21,N,,,,,,,,,,,,,,,,,,,,5
D,"South Windsor Auto Parts, Inc.","South Windsor Auto Parts, Inc.",132,"Sciantic River, Sciantic Regional Basin",,1980,5015,Y,SW-1,5/1/12,4/22/12,9,N,0.8,5.97,6.66,22,48,0.22,0.93,0.2,0.01,0.063,0.053,,,,,,2.23,0.0001,1.44,0.005
D,"M&J Auto Recycling, Inc. ","M&J Auto Recycling, Inc. & M&J Bus",28,"Deep River, Yantic Regional Basin",,2079,5015,N,SW-1,12/6/11,11/18/11,18,N,0.9,6.9,9.2,360,530,0.69,1.7,0.23,0.395,0.871,0.56,100.00%,100.00%,38,84,100.00%,,,,
D,"M&J Auto Recycling, Inc. ","M&J Auto Recycling, Inc. & M&J Bus",28,"Deep River, Yantic Regional Basin",,2079,5015,N,SW-1,6/25/12,6/14/12,11,N,2.1,6.4,7,120,220,0.234,1.8,0.23,0.135,0.333,0.187,,,,,,12.4,0.0001,7.07,0.65
D,Chuck and Eddies Used Auto Parts,Chuck and Eddies Used Auto Parts,131,Tributary Quinnipiac River ,,2157,5015,Y,Outfall Location One,9/23/11,,,N,0.7,4.66,4.74,5,6.5,0.005,0.48,0.12,0.0005,0.073,0.001,70.70%,17.70%,2,30,0.00%,0.184,,0.12,
